,0
Nigeria,[22 27 12 14]
North Korea,[49 51 42 41 50]
Norway,[61 62 33 42 32 43]
Oman,[22]
Pakistan,[26 62 43 47 46 21 35 42 34 32 31 27 37 22]
Palestine,[27 34]
Panama,[14 12 11]
Papua New Guinea,[11 12 14]
Paraguay,[12 14 27 37 31]
Peru,[14 27 38 32 12 26 22 11 21 62 39]
Philippines,[11 14 38 12 13]
Poland,[42 43 32]
Portugal,[35 34]
Puerto Rico,[11 12 14]
Qatar,[22]
Romania,[43 42 32 26 31]
Russia,[62 44 43 52 48 47 51 42 50 26 49 34 32 41 31]
Rwanda,[14 32 38]
S. Sudan,[12 14 22 27]
Saudi Arabia,[21 22]
Senegal,[22 14 13 27]
Serbia,[31 42 32]
Sierra Leone,[12 14]
Slovakia,[43 42 32]
Slovenia,[42 43 31 32]
Solomon Is.,[11]
Somalia,[27 22 13]
Somaliland,[37 27 22]
South Africa,[22 37 26 27 14 32 21 38 31 35 34]
South Korea,[41 42 50 37 49 31]
Spain,[31 34 26 35 32 27]
Sri Lanka,[13 12 11]
Sudan,[14 22 27]
Suriname,[12 11]
Sweden,[62 42 32 43]
Switzerland,[62 43 33 32]
Syria,[26 27 21 35 34 22]
Taiwan,[32 31 37 38 14 12]
Tajikistan,[45 26 35 47 34 21 46 62]
Tanzania,[12 11 32 27 38 13 14 37]
Thailand,[37 12 14 11]
Timor-Leste,[14]
Togo,[14]
Trinidad and Tobago,[12 14]
Tunisia,[34 26 21 27 22]
Turkey,[31 35 32 34 46 41 45 42 26]
Turkmenistan,[34 27 21 26]
Uganda,[32 27 12 13 11 14]
Ukraine,[43 41 32 31 42 26]
United Arab Emirates,[22]
United Kingdom,[33 32]
United States of America,[62 47 43 26 51 33 42 32 46 34 35 49 50 21 41 31 37 27 22 11 14 12]
Uruguay,[32 31]
Uzbekistan,[46 45 47 21 26 35 34 27]
Vanuatu,[11 12]
Venezuela,[22 27 38 12 11 32 14]
Vietnam,[14 37 12]
W. Sahara,[22]
Yemen,[21 27 26 22]
Zambia,[38 14 27 37]
Zimbabwe,[27 14 37 38 22]
eSwatini,[37 27 14 38]
